"(n,q)",Connected,Tor(K_0) cyclic,Rank(K_1) > 0,All cyclic,,2-cyclic,2-Sylow = 0,2-Sylow = Z/2Z,2-Sylow = Z/(2^2Z),2-Sylow = (Z/2Z)^2,2-Sylow = Z/(2^3Z),2-Sylow = (Z/2Z)^3,2-Sylow = Z/(2^4Z),2-Sylow = (Z/2Z)^4,2-Sylow = Z/(2^5Z),2-Sylow = (Z/2Z)^5,2-Sylow = Z/(2^6Z),2-Sylow = (Z/2Z)^6,2-Sylow = Z/(2^7Z),2-Sylow = (Z/2Z)^7,2-Sylow = Z/(2^8Z),2-Sylow = (Z/2Z)^8,2-Sylow = Z/(2^9Z),2-Sylow = (Z/2Z)^9,2-Sylow = Z/(2^10Z),2-Sylow = (Z/2Z)^10,2-Sylow = Z/(2^11Z),2-Sylow = (Z/2Z)^11,2-Sylow = Z/(2^12Z),2-Sylow = (Z/2Z)^12,2-Sylow = Z/(2^13Z),2-Sylow = (Z/2Z)^13,,3-cyclic,3-Sylow = 0,3-Sylow = Z/3Z,3-Sylow = Z/(3^2Z),3-Sylow = (Z/3Z)^2,3-Sylow = Z/(3^3Z),3-Sylow = (Z/3Z)^3,3-Sylow = Z/(3^4Z),3-Sylow = (Z/3Z)^4,3-Sylow = Z/(3^5Z),3-Sylow = (Z/3Z)^5,3-Sylow = Z/(3^6Z),3-Sylow = (Z/3Z)^6,3-Sylow = Z/(3^7Z),3-Sylow = (Z/3Z)^7,3-Sylow = Z/(3^8Z),3-Sylow = (Z/3Z)^8,,5-cyclic,5-Sylow = 0,5-Sylow = Z/5Z,5-Sylow = Z/(5^2Z),5-Sylow = (Z/5Z)^2,5-Sylow = Z/(5^3Z),5-Sylow = (Z/5Z)^3,5-Sylow = Z/(5^4Z),5-Sylow = (Z/5Z)^4,5-Sylow = Z/(5^5Z),5-Sylow = (Z/5Z)^5,,7-cyclic,7-Sylow = 0,7-Sylow = Z/7Z,7-Sylow = Z/(7^2Z),7-Sylow = (Z/7Z)^2,7-Sylow = Z/(7^3Z),7-Sylow = (Z/7Z)^3,7-Sylow = Z/(7^4Z),7-Sylow = (Z/7Z)^4,,11-cyclic,11-Sylow = 0,11-Sylow = Z/11Z,11-Sylow = Z/(11^2Z),11-Sylow = (Z/11Z)^2,11-Sylow = Z/(11^3Z),11-Sylow = (Z/11Z)^3,,13-cyclic,13-Sylow = 0,13-Sylow = Z/13Z,13-Sylow = Z/(13^2Z),13-Sylow = (Z/13Z)^2,13-Sylow = Z/(13^3Z),13-Sylow = (Z/13Z)^3,,17-cyclic,17-Sylow = 0,17-Sylow = Z/17Z,17-Sylow = Z/(17^2Z),17-Sylow = (Z/17Z)^2,17-Sylow = Z/(17^3Z),17-Sylow = (Z/17Z)^3,,19-cyclic,19-Sylow = 0,19-Sylow = Z/19Z,19-Sylow = Z/(19^2Z),19-Sylow = (Z/19Z)^2,19-Sylow = Z/(19^3Z),19-Sylow = (Z/19Z)^3,,23-cyclic,23-Sylow = 0,23-Sylow = Z/23Z,23-Sylow = Z/(23^2Z),23-Sylow = (Z/23Z)^2,,29-cyclic,29-Sylow = 0,29-Sylow = Z/29Z,29-Sylow = Z/(29^2Z),29-Sylow = (Z/29Z)^2,,31-cyclic,31-Sylow = 0,31-Sylow = Z/31Z,31-Sylow = Z/(31^2Z),31-Sylow = (Z/31Z)^2,,37-cyclic,37-Sylow = 0,37-Sylow = Z/37Z,37-Sylow = Z/(37^2Z),37-Sylow = (Z/37Z)^2,,137-cyclic,137-Sylow = 0,137-Sylow = Z/137Z,,277-cyclic,277-Sylow = 0,277-Sylow = Z/277Z
,"[0.1533, 0.1592]","[0.8543, 0.8600]","[0.0860, 0.0906]",,,"[0.8721, 0.8775]","[0.3081, 0.3156]","[0.2875, 0.2949]","[0.1343, 0.1400]","[0.0447, 0.0482]","[0.0663, 0.0704]","[0.0010, 0.0016]","[0.0322, 0.0352]","[-0.0000, 0.0000]","[0.0156, 0.0177]","[0.0000, 0.0000]","[0.0070, 0.0084]","[0.0000, 0.0000]","[0.0034, 0.0045]","[0.0000, 0.0000]","[0.0017, 0.0025]","[0.0000, 0.0000]","[0.0008, 0.0013]","[0.0000, 0.0000]","[0.0004, 0.0008]","[0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9807, 0.9829]","[0.5821, 0.5902]","[0.2637, 0.2709]","[0.0838, 0.0884]","[0.0097, 0.0114]","[0.0266, 0.0293]","[-0.0000, 0.0001]","[0.0088, 0.0104]","[0.0000, 0.0000]","[0.0027, 0.0036]","[0.0000, 0.0000]","[0.0009, 0.0014]","[0.0000, 0.0000]","[0.0002, 0.0004]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9976, 0.9984]","[0.7747, 0.7815]","[0.1733, 0.1795]","[0.0334, 0.0364]","[0.0012, 0.0018]","[0.0061, 0.0074]","[0.0000, 0.0000]","[0.0011, 0.0017]","[0.0000, 0.0000]","[0.0002, 0.0006]","[0.0000, 0.0000]",,"[0.9992, 0.9996]","[0.8460, 0.8518]","[0.1266, 0.1320]","[0.0172, 0.0194]","[0.0003, 0.0007]","[0.0020, 0.0028]","[0.0000, 0.0000]","[0.0003, 0.0006]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9053, 0.9100]","[0.0819, 0.0865]","[0.0067, 0.0081]","[-0.0000, 0.0001]","[0.0004, 0.0009]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9215, 0.9258]","[0.0682, 0.0724]","[0.0050, 0.0062]","[-0.0000, 0.0001]","[0.0003, 0.0006]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9413, 0.9451]","[0.0514, 0.0551]","[0.0028, 0.0037]","[-0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9464, 0.9500]","[0.0475, 0.0510]","[0.0020, 0.0027]","[-0.0000, 0.0001]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9569, 0.9601]","[0.0380, 0.0412]","[0.0015, 0.0021]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9662, 0.9690]","[0.0299, 0.0327]","[0.0008, 0.0013]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9687, 0.9714]","[0.0276, 0.0303]","[0.0007, 0.0012]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9738, 0.9764]","[0.0230, 0.0255]","[0.0004, 0.0008]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9924, 0.9938]","[0.0062, 0.0075]",,"[1.0000, 1.0000]","[0.9961, 0.9971]","[0.0029, 0.0039]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(50,(2log50)/50)",97697,84811,384,0.84813,,86767,28965,28780,14479,4765,7277,202,3627,1,1835,0,930,0,458,0,217,0,98,0,57,0,29,0,9,0,3,0,,98010,55930,27953,9354,1202,3199,2,1073,0,346,0,105,0,34,0,13,0,,99806,76057,18977,3831,160,750,0,156,0,26,0,,99944,83674,13943,2019,45,269,0,34,0,,99990,90134,8961,815,10,69,0,,99997,91815,7567,565,3,46,0,,99998,93674,5953,353,2,17,0,,100000,94491,5199,294,0,16,0,,100000,95430,4382,179,0,,100000,96400,3449,144,0,,99998,96704,3186,104,2,,100000,97223,2701,73,0,,100000,99243,750,,100000,99661,338
,"[0.9757, 0.9782]","[0.8452, 0.8510]","[0.0033, 0.0043]",,,"[0.8649, 0.8704]","[0.2860, 0.2933]","[0.2841, 0.2915]","[0.1419, 0.1477]","[0.0459, 0.0494]","[0.0707, 0.0749]","[0.0017, 0.0024]","[0.0347, 0.0378]","[-0.0000, 0.0000]","[0.0173, 0.0194]","[0.0000, 0.0000]","[0.0085, 0.0101]","[0.0000, 0.0000]","[0.0040, 0.0051]","[0.0000, 0.0000]","[0.0018, 0.0025]","[0.0000, 0.0000]","[0.0007, 0.0012]","[0.0000, 0.0000]","[0.0004, 0.0008]","[0.0000, 0.0000]","[0.0002, 0.0004]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9790, 0.9812]","[0.5553, 0.5633]","[0.2759, 0.2832]","[0.0912, 0.0959]","[0.0111, 0.0129]","[0.0306, 0.0334]","[-0.0000, 0.0001]","[0.0099, 0.0116]","[0.0000, 0.0000]","[0.0030, 0.0039]","[0.0000, 0.0000]","[0.0008, 0.0013]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9977, 0.9984]","[0.7571, 0.7640]","[0.1866, 0.1930]","[0.0367, 0.0399]","[0.0013, 0.0019]","[0.0068, 0.0082]","[0.0000, 0.0000]","[0.0012, 0.0019]","[0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]",,"[0.9992, 0.9996]","[0.8337, 0.8398]","[0.1366, 0.1423]","[0.0190, 0.0213]","[0.0003, 0.0006]","[0.0023, 0.0031]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]",,"[0.9998, 1.0000]","[0.8989, 0.9038]","[0.0873, 0.0919]","[0.0074, 0.0089]","[0.0000, 0.0002]","[0.0005, 0.0009]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9159, 0.9204]","[0.0735, 0.0778]","[0.0050, 0.0063]","[-0.0000, 0.0001]","[0.0003, 0.0006]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9348, 0.9387]","[0.0576, 0.0615]","[0.0030, 0.0040]","[-0.0000, 0.0001]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9431, 0.9468]","[0.0502, 0.0538]","[0.0025, 0.0034]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9526, 0.9560]","[0.0422, 0.0455]","[0.0014, 0.0021]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9625, 0.9655]","[0.0330, 0.0360]","[0.0011, 0.0017]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9656, 0.9685]","[0.0304, 0.0333]","[0.0008, 0.0013]","[-0.0000, 0.0001]",,"[1.0000, 1.0000]","[0.9709, 0.9736]","[0.0257, 0.0283]","[0.0005, 0.0009]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9917, 0.9931]","[0.0068, 0.0082]",,"[1.0000, 1.0000]","[0.9961, 0.9971]","[0.0029, 0.0039]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(100,(2log100)/100)",98606,84880,114,0.84885,,86786,28842,28965,14443,4868,7241,150,3648,1,1814,0,905,0,444,0,249,0,110,0,58,0,29,0,16,0,12,0,,98062,55892,28146,9325,1110,3070,6,1099,0,360,0,121,0,35,0,6,0,,99805,76176,18866,3780,138,787,0,155,0,30,0,,99952,83572,14033,2046,46,263,0,33,0,,99993,90079,9102,736,6,72,0,,99996,91602,7715,628,4,50,0,,99998,93851,5783,342,2,22,0,,99999,94482,5247,255,0,14,0,,100000,95274,4528,191,0,,100000,96393,3482,116,0,,100000,96673,3224,101,0,,100000,97194,2750,55,0,,100000,99280,716,,100000,99626,372
,"[0.9851, 0.9870]","[0.8459, 0.8517]","[0.0009, 0.0014]",,,"[0.8651, 0.8706]","[0.2847, 0.2921]","[0.2860, 0.2933]","[0.1416, 0.1473]","[0.0469, 0.0504]","[0.0703, 0.0745]","[0.0012, 0.0018]","[0.0350, 0.0380]","[-0.0000, 0.0000]","[0.0171, 0.0192]","[0.0000, 0.0000]","[0.0083, 0.0098]","[0.0000, 0.0000]","[0.0039, 0.0050]","[0.0000, 0.0000]","[0.0021, 0.0029]","[0.0000, 0.0000]","[0.0008, 0.0014]","[0.0000, 0.0000]","[0.0004, 0.0008]","[0.0000, 0.0000]","[0.0002, 0.0004]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9795, 0.9817]","[0.5549, 0.5630]","[0.2778, 0.2851]","[0.0909, 0.0956]","[0.0102, 0.0120]","[0.0293, 0.0321]","[-0.0000, 0.0001]","[0.0101, 0.0118]","[0.0000, 0.0000]","[0.0031, 0.0041]","[0.0000, 0.0000]","[0.0009, 0.0015]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9977, 0.9984]","[0.7583, 0.7652]","[0.1855, 0.1918]","[0.0362, 0.0394]","[0.0011, 0.0017]","[0.0072, 0.0086]","[0.0000, 0.0000]","[0.0012, 0.0019]","[0.0000, 0.0000]","[0.0002, 0.0004]","[0.0000, 0.0000]",,"[0.9993, 0.9997]","[0.8327, 0.8387]","[0.1375, 0.1432]","[0.0193, 0.0216]","[0.0003, 0.0006]","[0.0022, 0.0030]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.8984, 0.9032]","[0.0887, 0.0934]","[0.0067, 0.0081]","[-0.0000, 0.0001]","[0.0005, 0.0009]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9138, 0.9183]","[0.0750, 0.0793]","[0.0056, 0.0069]","[-0.0000, 0.0001]","[0.0003, 0.0007]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9366, 0.9405]","[0.0559, 0.0597]","[0.0029, 0.0039]","[-0.0000, 0.0001]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9430, 0.9467]","[0.0507, 0.0543]","[0.0021, 0.0030]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9510, 0.9545]","[0.0436, 0.0470]","[0.0016, 0.0023]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9624, 0.9654]","[0.0333, 0.0363]","[0.0009, 0.0014]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9653, 0.9682]","[0.0308, 0.0337]","[0.0008, 0.0013]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9706, 0.9733]","[0.0262, 0.0288]","[0.0004, 0.0007]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9921, 0.9935]","[0.0065, 0.0078]",,"[1.0000, 1.0000]","[0.9958, 0.9968]","[0.0032, 0.0042]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(50,(3log50)/50)",99976,84522,6,0.84508,,86459,28948,28733,14391,4849,7259,164,3548,1,1852,0,879,0,423,0,212,0,110,0,45,0,24,0,21,0,7,0,,97995,56165,27852,9355,1188,3068,8,1032,0,359,0,110,0,36,0,12,0,,99804,75973,19122,3779,137,731,0,156,0,28,0,,99955,83555,14048,2040,41,277,0,31,0,,99993,90270,8856,779,7,83,0,,99996,91725,7613,602,4,50,0,,99996,93834,5795,348,3,16,0,,99999,94359,5365,263,1,11,0,,100000,95394,4432,165,0,,100000,96390,3472,131,0,,100000,96702,3193,101,0,,100000,97310,2604,86,0,,100000,99235,761,,100000,99637,361
,"[0.9996, 0.9999]","[0.8423, 0.8482]","[-0.0000, 0.0001]",,,"[0.8618, 0.8674]","[0.2858, 0.2932]","[0.2836, 0.2910]","[0.1411, 0.1468]","[0.0467, 0.0502]","[0.0705, 0.0747]","[0.0013, 0.0020]","[0.0340, 0.0370]","[-0.0000, 0.0000]","[0.0174, 0.0196]","[0.0000, 0.0000]","[0.0080, 0.0096]","[0.0000, 0.0000]","[0.0037, 0.0048]","[0.0000, 0.0000]","[0.0017, 0.0025]","[0.0000, 0.0000]","[0.0008, 0.0014]","[0.0000, 0.0000]","[0.0003, 0.0006]","[0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]","[0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9788, 0.9811]","[0.5576, 0.5657]","[0.2749, 0.2822]","[0.0912, 0.0959]","[0.0110, 0.0128]","[0.0293, 0.0321]","[0.0000, 0.0002]","[0.0095, 0.0111]","[0.0000, 0.0000]","[0.0031, 0.0041]","[0.0000, 0.0000]","[0.0008, 0.0014]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9977, 0.9984]","[0.7562, 0.7632]","[0.1880, 0.1944]","[0.0362, 0.0393]","[0.0011, 0.0017]","[0.0066, 0.0080]","[0.0000, 0.0000]","[0.0012, 0.0019]","[0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]",,"[0.9994, 0.9997]","[0.8325, 0.8386]","[0.1376, 0.1433]","[0.0192, 0.0216]","[0.0002, 0.0006]","[0.0023, 0.0032]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9003, 0.9051]","[0.0862, 0.0909]","[0.0071, 0.0085]","[0.0000, 0.0001]","[0.0006, 0.0011]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9150, 0.9195]","[0.0740, 0.0783]","[0.0054, 0.0067]","[-0.0000, 0.0001]","[0.0003, 0.0007]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9364, 0.9403]","[0.0560, 0.0599]","[0.0030, 0.0040]","[-0.0000, 0.0001]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9417, 0.9455]","[0.0518, 0.0555]","[0.0022, 0.0030]","[-0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9522, 0.9556]","[0.0426, 0.0460]","[0.0013, 0.0020]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9624, 0.9654]","[0.0332, 0.0362]","[0.0010, 0.0016]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9656, 0.9685]","[0.0305, 0.0334]","[0.0008, 0.0013]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9718, 0.9744]","[0.0247, 0.0273]","[0.0006, 0.0011]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9916, 0.9931]","[0.0069, 0.0083]",,"[1.0000, 1.0000]","[0.9959, 0.9969]","[0.0031, 0.0041]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(100,(3log100)/100)",99993,84617,3,0.84612,,86586,29018,28901,14283,4764,7197,162,3650,5,1758,0,923,0,425,0,226,0,100,0,50,0,29,0,16,0,4,0,,97990,56106,27981,9242,1201,3126,4,1027,0,362,0,90,0,38,0,13,0,,99781,75658,19302,3815,183,818,0,138,0,40,0,,99958,83745,13897,1976,32,299,0,38,0,,99992,90031,9053,839,7,64,0,,99997,91574,7792,594,3,33,0,,99999,93885,5748,345,1,20,0,,99998,94447,5242,287,2,21,0,,100000,95511,4297,182,0,,99999,96507,3380,109,1,,100000,96643,3260,96,0,,100000,97181,2738,79,0,,100000,99264,730,,100000,99600,400
,"[0.9999, 1.0000]","[0.8432, 0.8491]","[-0.0000, 0.0001]",,,"[0.8631, 0.8686]","[0.2865, 0.2939]","[0.2853, 0.2927]","[0.1400, 0.1457]","[0.0459, 0.0494]","[0.0699, 0.0741]","[0.0013, 0.0019]","[0.0350, 0.0380]","[-0.0000, 0.0001]","[0.0165, 0.0187]","[0.0000, 0.0000]","[0.0085, 0.0100]","[0.0000, 0.0000]","[0.0037, 0.0048]","[0.0000, 0.0000]","[0.0019, 0.0026]","[0.0000, 0.0000]","[0.0007, 0.0013]","[0.0000, 0.0000]","[0.0003, 0.0007]","[0.0000, 0.0000]","[0.0002, 0.0004]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9788, 0.9810]","[0.5570, 0.5651]","[0.2762, 0.2835]","[0.0901, 0.0948]","[0.0111, 0.0129]","[0.0298, 0.0327]","[-0.0000, 0.0001]","[0.0094, 0.0111]","[0.0000, 0.0000]","[0.0031, 0.0041]","[0.0000, 0.0000]","[0.0007, 0.0011]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9974, 0.9982]","[0.7531, 0.7601]","[0.1898, 0.1962]","[0.0366, 0.0397]","[0.0015, 0.0022]","[0.0074, 0.0089]","[0.0000, 0.0000]","[0.0011, 0.0017]","[0.0000, 0.0000]","[0.0002, 0.0006]","[0.0000, 0.0000]",,"[0.9994, 0.9997]","[0.8344, 0.8405]","[0.1362, 0.1418]","[0.0186, 0.0209]","[0.0002, 0.0005]","[0.0025, 0.0034]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]",,"[0.9998, 1.0000]","[0.8979, 0.9028]","[0.0882, 0.0929]","[0.0076, 0.0091]","[0.0000, 0.0001]","[0.0004, 0.0008]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9135, 0.9180]","[0.0757, 0.0801]","[0.0053, 0.0066]","[-0.0000, 0.0001]","[0.0002, 0.0005]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9369, 0.9408]","[0.0556, 0.0594]","[0.0030, 0.0039]","[-0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9426, 0.9463]","[0.0506, 0.0542]","[0.0024, 0.0033]","[-0.0000, 0.0001]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9534, 0.9568]","[0.0413, 0.0446]","[0.0015, 0.0022]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9636, 0.9666]","[0.0323, 0.0353]","[0.0008, 0.0014]","[-0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9650, 0.9679]","[0.0312, 0.0340]","[0.0007, 0.0012]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9705, 0.9732]","[0.0261, 0.0287]","[0.0006, 0.0010]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9919, 0.9933]","[0.0066, 0.0080]",,"[1.0000, 1.0000]","[0.9955, 0.9965]","[0.0035, 0.0045]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(200,(3log200)/200)",99995,84701,0,0.84715,,86656,28805,28824,14495,4908,7284,164,3727,1,1796,0,859,0,424,0,205,0,119,0,62,0,24,0,9,0,15,0,,98001,56140,27957,9314,1222,3045,5,1013,0,365,0,108,0,39,0,13,0,,99810,76074,18926,3896,148,759,0,131,0,17,0,,99958,83648,13993,1964,36,290,0,58,0,,99991,90060,9067,786,7,69,0,,99998,91730,7637,582,2,46,0,,99998,93696,5930,342,2,29,0,,100000,94377,5350,261,0,11,0,,99999,95482,4308,198,1,,100000,96449,3425,119,0,,100000,96642,3256,100,0,,100000,97237,2695,66,0,,100000,99266,726,,100000,99656,343
,"[0.9999, 1.0000]","[0.8441, 0.8499]","[0.0000, 0.0000]",,,"[0.8638, 0.8693]","[0.2844, 0.2917]","[0.2846, 0.2919]","[0.1421, 0.1478]","[0.0473, 0.0508]","[0.0707, 0.0750]","[0.0013, 0.0020]","[0.0357, 0.0388]","[-0.0000, 0.0000]","[0.0169, 0.0190]","[0.0000, 0.0000]","[0.0078, 0.0093]","[0.0000, 0.0000]","[0.0037, 0.0048]","[0.0000, 0.0000]","[0.0017, 0.0024]","[0.0000, 0.0000]","[0.0009, 0.0015]","[0.0000, 0.0000]","[0.0004, 0.0008]","[0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[0.0001, 0.0002]","[0.0000, 0.0000]",,"[0.9789, 0.9812]","[0.5574, 0.5654]","[0.2759, 0.2832]","[0.0908, 0.0955]","[0.0113, 0.0131]","[0.0291, 0.0318]","[-0.0000, 0.0001]","[0.0093, 0.0109]","[0.0000, 0.0000]","[0.0032, 0.0041]","[0.0000, 0.0000]","[0.0008, 0.0013]","[0.0000, 0.0000]","[0.0002, 0.0006]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9977, 0.9985]","[0.7573, 0.7642]","[0.1861, 0.1925]","[0.0374, 0.0405]","[0.0012, 0.0018]","[0.0069, 0.0083]","[0.0000, 0.0000]","[0.0010, 0.0016]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[0.9994, 0.9997]","[0.8335, 0.8395]","[0.1371, 0.1428]","[0.0185, 0.0208]","[0.0002, 0.0005]","[0.0025, 0.0033]","[0.0000, 0.0000]","[0.0004, 0.0008]","[0.0000, 0.0000]",,"[0.9998, 1.0000]","[0.8982, 0.9030]","[0.0883, 0.0930]","[0.0071, 0.0086]","[0.0000, 0.0001]","[0.0005, 0.0009]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9151, 0.9195]","[0.0742, 0.0785]","[0.0052, 0.0064]","[-0.0000, 0.0001]","[0.0003, 0.0006]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9350, 0.9389]","[0.0574, 0.0612]","[0.0029, 0.0039]","[-0.0000, 0.0001]","[0.0002, 0.0004]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9419, 0.9456]","[0.0517, 0.0553]","[0.0022, 0.0030]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9531, 0.9565]","[0.0414, 0.0447]","[0.0016, 0.0023]","[-0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9630, 0.9660]","[0.0328, 0.0357]","[0.0009, 0.0015]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9650, 0.9679]","[0.0311, 0.0340]","[0.0007, 0.0013]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9710, 0.9737]","[0.0256, 0.0283]","[0.0005, 0.0009]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9920, 0.9934]","[0.0066, 0.0080]",,"[1.0000, 1.0000]","[0.9961, 0.9970]","[0.0030, 0.0039]"