"(n,w)",Connected,Tor(K_0) cyclic,Rank(K_1) > 0,All cyclic,,2-cyclic,2-Sylow = 0,2-Sylow = Z/2Z,2-Sylow = Z/(2^2Z),2-Sylow = (Z/2Z)^2,2-Sylow = Z/(2^3Z),2-Sylow = (Z/2Z)^3,2-Sylow = Z/(2^4Z),2-Sylow = (Z/2Z)^4,2-Sylow = Z/(2^5Z),2-Sylow = (Z/2Z)^5,2-Sylow = Z/(2^6Z),2-Sylow = (Z/2Z)^6,2-Sylow = Z/(2^7Z),2-Sylow = (Z/2Z)^7,2-Sylow = Z/(2^8Z),2-Sylow = (Z/2Z)^8,2-Sylow = Z/(2^9Z),2-Sylow = (Z/2Z)^9,2-Sylow = Z/(2^10Z),2-Sylow = (Z/2Z)^10,2-Sylow = Z/(2^11Z),2-Sylow = (Z/2Z)^11,2-Sylow = Z/(2^12Z),2-Sylow = (Z/2Z)^12,2-Sylow = Z/(2^13Z),2-Sylow = (Z/2Z)^13,2-Sylow = Z/(2^14Z),2-Sylow = (Z/2Z)^14,,3-cyclic,3-Sylow = 0,3-Sylow = Z/3Z,3-Sylow = Z/(3^2Z),3-Sylow = (Z/3Z)^2,3-Sylow = Z/(3^3Z),3-Sylow = (Z/3Z)^3,3-Sylow = Z/(3^4Z),3-Sylow = (Z/3Z)^4,3-Sylow = Z/(3^5Z),3-Sylow = (Z/3Z)^5,3-Sylow = Z/(3^6Z),3-Sylow = (Z/3Z)^6,3-Sylow = Z/(3^7Z),3-Sylow = (Z/3Z)^7,3-Sylow = Z/(3^8Z),3-Sylow = (Z/3Z)^8,3-Sylow = Z/(3^9Z),3-Sylow = (Z/3Z)^9,,5-cyclic,5-Sylow = 0,5-Sylow = Z/5Z,5-Sylow = Z/(5^2Z),5-Sylow = (Z/5Z)^2,5-Sylow = Z/(5^3Z),5-Sylow = (Z/5Z)^3,5-Sylow = Z/(5^4Z),5-Sylow = (Z/5Z)^4,5-Sylow = Z/(5^5Z),5-Sylow = (Z/5Z)^5,5-Sylow = Z/(5^6Z),5-Sylow = (Z/5Z)^6,,7-cyclic,7-Sylow = 0,7-Sylow = Z/7Z,7-Sylow = Z/(7^2Z),7-Sylow = (Z/7Z)^2,7-Sylow = Z/(7^3Z),7-Sylow = (Z/7Z)^3,7-Sylow = Z/(7^4Z),7-Sylow = (Z/7Z)^4,7-Sylow = Z/(7^5Z),7-Sylow = (Z/7Z)^5,,11-cyclic,11-Sylow = 0,11-Sylow = Z/11Z,11-Sylow = Z/(11^2Z),11-Sylow = (Z/11Z)^2,11-Sylow = Z/(11^3Z),11-Sylow = (Z/11Z)^3,11-Sylow = Z/(11^4Z),11-Sylow = (Z/11Z)^4,,13-cyclic,13-Sylow = 0,13-Sylow = Z/13Z,13-Sylow = Z/(13^2Z),13-Sylow = (Z/13Z)^2,13-Sylow = Z/(13^3Z),13-Sylow = (Z/13Z)^3,,17-cyclic,17-Sylow = 0,17-Sylow = Z/17Z,17-Sylow = Z/(17^2Z),17-Sylow = (Z/17Z)^2,17-Sylow = Z/(17^3Z),17-Sylow = (Z/17Z)^3,,19-cyclic,19-Sylow = 0,19-Sylow = Z/19Z,19-Sylow = Z/(19^2Z),19-Sylow = (Z/19Z)^2,19-Sylow = Z/(19^3Z),19-Sylow = (Z/19Z)^3,,23-cyclic,23-Sylow = 0,23-Sylow = Z/23Z,23-Sylow = Z/(23^2Z),23-Sylow = (Z/23Z)^2,23-Sylow = Z/(23^3Z),23-Sylow = (Z/23Z)^3,,29-cyclic,29-Sylow = 0,29-Sylow = Z/29Z,29-Sylow = Z/(29^2Z),29-Sylow = (Z/29Z)^2,,31-cyclic,31-Sylow = 0,31-Sylow = Z/31Z,31-Sylow = Z/(31^2Z),31-Sylow = (Z/31Z)^2,,37-cyclic,37-Sylow = 0,37-Sylow = Z/37Z,37-Sylow = Z/(37^2Z),37-Sylow = (Z/37Z)^2,,137-cyclic,137-Sylow = 0,137-Sylow = Z/137Z,137-Sylow = Z/(137^2Z),137-Sylow = (Z/137Z)^2,,277-cyclic,277-Sylow = 0,277-Sylow = Z/277Z
"(∞,q)",m−O(1/n),0.79352,o(1),,,0.83884,0.41942,0.20971,0.10486,0.06990,0.05243,0.00874,0.02621,0.00058,0.01311,0.00002,0.00655,0.00000,0.00328,0.00000,0.00164,0.00000,0.00082,0.00000,0.00041,0.00000,0.00020,0.00000,0.00010,0.00000,0.00005,0.00000,0.00003,0.00000,,0.95851,0.63900,0.21300,0.07100,0.02663,0.02367,0.00099,0.00789,0.00001,0.00263,0.00000,0.00088,0.00000,0.00029,0.00000,0.00010,0.00000,0.00003,0.00000,,0.99167,0.79334,0.15867,0.03173,0.00661,0.00635,0.00005,0.00127,0.00000,0.00025,0.00000,0.00005,0.00000,,0.99702,0.85459,0.12208,0.01744,0.00254,0.00249,0.00001,0.00036,0.00000,0.00005,0.00000,,0.99924,0.90840,0.08258,0.00751,0.00069,0.00068,0.00000,0.00006,0.00000,,0.99954,0.92265,0.07097,0.00546,0.00042,0.00042,0.00000,,0.99980,0.94098,0.05535,0.00326,0.00019,0.00019,0.00000,,0.99985,0.94723,0.04985,0.00262,0.00014,0.00014,0.00000,,0.99992,0.95644,0.04158,0.00181,0.00008,0.00008,0.00000,,0.99996,0.96548,0.03329,0.00115,0.00004,,0.99997,0.96771,0.03122,0.00101,0.00003,,0.99998,0.97295,0.02630,0.00071,0.00002,,1.00000,0.99270,0.00725,0.00005,0.00000,,1.00000,0.99639,0.00360
"(50,1/4)",99997,79306,3,0.79333,,83833,41813,20919,10671,7101,5225,895,2624,46,1242,3,699,0,320,0,150,0,77,0,53,0,24,0,11,0,4,0,1,0,,95898,64004,21173,7127,2632,2429,106,759,1,279,0,78,0,35,0,8,0,5,0,,99150,79329,15873,3180,688,608,5,134,0,21,0,3,0,,99687,85464,12249,1693,276,237,1,32,0,12,0,,99929,90943,8162,746,64,74,0,3,0,,99954,92126,7245,533,43,43,0,,99980,94004,5630,330,19,15,0,,99989,94721,5018,237,10,13,0,,99998,95718,4104,166,2,9,0,,99993,96468,3391,132,7,,99998,96776,3130,88,2,,99998,97360,2564,72,2,,100000,99272,723,5,0,,100000,99641,357
,"[0.9999, 1.0000]","[0.7898, 0.7964]","[-0.0000, 0.0001]",,,"[0.8353, 0.8413]","[0.4141, 0.4221]","[0.2059, 0.2125]","[0.1042, 0.1092]","[0.0689, 0.0731]","[0.0504, 0.0541]","[0.0082, 0.0097]","[0.0249, 0.0275]","[0.0003, 0.0006]","[0.0115, 0.0133]","[-0.0000, 0.0001]","[0.0063, 0.0077]","[0.0000, 0.0000]","[0.0027, 0.0037]","[0.0000, 0.0000]","[0.0012, 0.0018]","[0.0000, 0.0000]","[0.0005, 0.0010]","[0.0000, 0.0000]","[0.0003, 0.0007]","[0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]","[-0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9574, 0.9606]","[0.6361, 0.6439]","[0.2084, 0.2151]","[0.0692, 0.0734]","[0.0250, 0.0276]","[0.0230, 0.0255]","[0.0008, 0.0013]","[0.0069, 0.0083]","[-0.0000, 0.0000]","[0.0024, 0.0032]","[0.0000, 0.0000]","[0.0006, 0.0010]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9908, 0.9922]","[0.7900, 0.7966]","[0.1558, 0.1617]","[0.0304, 0.0332]","[0.0062, 0.0076]","[0.0054, 0.0067]","[-0.0000, 0.0001]","[0.0010, 0.0016]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9964, 0.9973]","[0.8518, 0.8575]","[0.1198, 0.1252]","[0.0159, 0.0180]","[0.0023, 0.0032]","[0.0020, 0.0028]","[-0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9991, 0.9995]","[0.9071, 0.9118]","[0.0794, 0.0839]","[0.0068, 0.0082]","[0.0004, 0.0008]","[0.0005, 0.0010]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9994, 0.9997]","[0.9191, 0.9235]","[0.0703, 0.0746]","[0.0047, 0.0059]","[0.0003, 0.0006]","[0.0003, 0.0006]","[0.0000, 0.0000]",,"[0.9997, 0.9999]","[0.9381, 0.9420]","[0.0544, 0.0582]","[0.0028, 0.0038]","[0.0001, 0.0003]","[0.0001, 0.0002]","[0.0000, 0.0000]",,"[0.9998, 1.0000]","[0.9454, 0.9490]","[0.0484, 0.0520]","[0.0020, 0.0028]","[0.0000, 0.0002]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9555, 0.9588]","[0.0394, 0.0427]","[0.0013, 0.0020]","[-0.0000, 0.0001]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9632, 0.9662]","[0.0324, 0.0354]","[0.0010, 0.0016]","[0.0000, 0.0001]",,"[0.9999, 1.0000]","[0.9663, 0.9692]","[0.0299, 0.0327]","[0.0006, 0.0011]","[-0.0000, 0.0001]",,"[0.9999, 1.0000]","[0.9723, 0.9749]","[0.0244, 0.0269]","[0.0005, 0.0009]","[-0.0000, 0.0001]",,"[1.0000, 1.0000]","[0.9920, 0.9934]","[0.0065, 0.0079]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9959, 0.9969]","[0.0031, 0.0041]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(100,1/4)",100000,79331,0,0.79293,,83822,41978,20914,10609,6957,5172,907,2617,60,1233,0,663,0,336,0,153,0,73,0,42,0,14,0,10,0,2,0,0,0,,95839,64009,21124,7180,2654,2346,117,777,2,268,0,95,0,25,0,9,0,3,0,,99169,79646,15659,3087,676,607,4,134,0,29,0,6,0,,99697,85698,12052,1666,259,237,0,39,0,5,0,,99941,90842,8260,760,58,70,0,9,0,,99952,92283,7087,525,48,53,0,,99970,94081,5557,314,28,17,0,,99992,94811,4899,268,8,14,0,,99986,95712,4087,176,14,10,0,,99996,96471,3388,132,4,,99997,96733,3170,90,3,,100000,97283,2644,72,0,,100000,99309,689,2,0,,100000,99627,372
,"[1.0000, 1.0000]","[0.7900, 0.7966]","[0.0000, 0.0000]",,,"[0.8352, 0.8412]","[0.4158, 0.4238]","[0.2058, 0.2125]","[0.1036, 0.1086]","[0.0675, 0.0716]","[0.0499, 0.0535]","[0.0083, 0.0098]","[0.0249, 0.0275]","[0.0004, 0.0008]","[0.0114, 0.0132]","[0.0000, 0.0000]","[0.0060, 0.0073]","[0.0000, 0.0000]","[0.0029, 0.0038]","[0.0000, 0.0000]","[0.0012, 0.0018]","[0.0000, 0.0000]","[0.0005, 0.0009]","[0.0000, 0.0000]","[0.0003, 0.0006]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]","[0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9568, 0.9600]","[0.6362, 0.6440]","[0.2079, 0.2146]","[0.0697, 0.0739]","[0.0252, 0.0278]","[0.0222, 0.0247]","[0.0009, 0.0014]","[0.0071, 0.0085]","[-0.0000, 0.0001]","[0.0023, 0.0031]","[0.0000, 0.0000]","[0.0007, 0.0012]","[0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9910, 0.9924]","[0.7932, 0.7997]","[0.1536, 0.1596]","[0.0295, 0.0323]","[0.0061, 0.0074]","[0.0054, 0.0067]","[-0.0000, 0.0001]","[0.0010, 0.0016]","[0.0000, 0.0000]","[0.0002, 0.0004]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9965, 0.9974]","[0.8541, 0.8598]","[0.1179, 0.1232]","[0.0156, 0.0177]","[0.0022, 0.0030]","[0.0020, 0.0028]","[0.0000, 0.0000]","[0.0002, 0.0006]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9992, 0.9996]","[0.9061, 0.9108]","[0.0804, 0.0848]","[0.0069, 0.0083]","[0.0004, 0.0008]","[0.0005, 0.0009]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9993, 0.9997]","[0.9207, 0.9250]","[0.0688, 0.0730]","[0.0047, 0.0058]","[0.0003, 0.0007]","[0.0003, 0.0007]","[0.0000, 0.0000]",,"[0.9996, 0.9998]","[0.9389, 0.9427]","[0.0537, 0.0574]","[0.0027, 0.0036]","[0.0001, 0.0004]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[0.9998, 1.0000]","[0.9463, 0.9499]","[0.0472, 0.0507]","[0.0023, 0.0031]","[0.0000, 0.0002]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9998, 1.0000]","[0.9555, 0.9588]","[0.0393, 0.0425]","[0.0014, 0.0021]","[0.0000, 0.0002]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9632, 0.9662]","[0.0324, 0.0354]","[0.0010, 0.0016]","[-0.0000, 0.0001]",,"[0.9999, 1.0000]","[0.9659, 0.9688]","[0.0303, 0.0331]","[0.0007, 0.0011]","[-0.0000, 0.0001]",,"[1.0000, 1.0000]","[0.9715, 0.9742]","[0.0251, 0.0277]","[0.0005, 0.0009]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9924, 0.9938]","[0.0062, 0.0076]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9958, 0.9968]","[0.0032, 0.0042]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(50,1/3)",100000,79235,0,0.79263,,83784,41892,20951,10334,7017,5281,853,2615,67,1407,0,680,0,303,0,159,0,78,0,48,0,25,0,7,0,3,0,0,0,,95854,63838,21348,7102,2672,2398,94,790,1,257,0,83,0,22,0,11,0,4,0,,99157,79270,15981,3135,673,600,7,138,0,29,0,1,0,,99703,85425,12178,1812,262,251,1,30,0,6,0,,99920,90632,8437,784,73,62,0,5,0,,99956,92252,7112,552,41,38,0,,99981,93997,5633,334,19,16,0,,99990,94680,5003,290,10,17,0,,99990,95730,4079,168,10,12,0,,99997,96610,3265,118,3,,99998,96691,3208,95,2,,99999,97285,2610,102,1,,100000,99245,751,4,0,,100000,99642,357
