"(n,q)",Connected,Tor(K_0) cyclic,Rank(K_1) > 0,All cyclic,,2-cyclic,2-Sylow = 0,2-Sylow = Z/2Z,2-Sylow = Z/(2^2Z),2-Sylow = (Z/2Z)^2,2-Sylow = Z/(2^3Z),2-Sylow = (Z/2Z)^3,2-Sylow = Z/(2^4Z),2-Sylow = (Z/2Z)^4,2-Sylow = Z/(2^5Z),2-Sylow = (Z/2Z)^5,2-Sylow = Z/(2^6Z),2-Sylow = (Z/2Z)^6,2-Sylow = Z/(2^7Z),2-Sylow = (Z/2Z)^7,2-Sylow = Z/(2^8Z),2-Sylow = (Z/2Z)^8,2-Sylow = Z/(2^9Z),2-Sylow = (Z/2Z)^9,2-Sylow = Z/(2^10Z),2-Sylow = (Z/2Z)^10,2-Sylow = Z/(2^11Z),2-Sylow = (Z/2Z)^11,2-Sylow = Z/(2^12Z),2-Sylow = (Z/2Z)^12,2-Sylow = Z/(2^13Z),2-Sylow = (Z/2Z)^13,2-Sylow = Z/(2^14Z),2-Sylow = (Z/2Z)^14,,3-cyclic,3-Sylow = 0,3-Sylow = Z/3Z,3-Sylow = Z/(3^2Z),3-Sylow = (Z/3Z)^2,3-Sylow = Z/(3^3Z),3-Sylow = (Z/3Z)^3,3-Sylow = Z/(3^4Z),3-Sylow = (Z/3Z)^4,3-Sylow = Z/(3^5Z),3-Sylow = (Z/3Z)^5,3-Sylow = Z/(3^6Z),3-Sylow = (Z/3Z)^6,3-Sylow = Z/(3^7Z),3-Sylow = (Z/3Z)^7,3-Sylow = Z/(3^8Z),3-Sylow = (Z/3Z)^8,3-Sylow = Z/(3^9Z),3-Sylow = (Z/3Z)^9,,5-cyclic,5-Sylow = 0,5-Sylow = Z/5Z,5-Sylow = Z/(5^2Z),5-Sylow = (Z/5Z)^2,5-Sylow = Z/(5^3Z),5-Sylow = (Z/5Z)^3,5-Sylow = Z/(5^4Z),5-Sylow = (Z/5Z)^4,5-Sylow = Z/(5^5Z),5-Sylow = (Z/5Z)^5,5-Sylow = Z/(5^6Z),5-Sylow = (Z/5Z)^6,,7-cyclic,7-Sylow = 0,7-Sylow = Z/7Z,7-Sylow = Z/(7^2Z),7-Sylow = (Z/7Z)^2,7-Sylow = Z/(7^3Z),7-Sylow = (Z/7Z)^3,7-Sylow = Z/(7^4Z),7-Sylow = (Z/7Z)^4,7-Sylow = Z/(7^5Z),7-Sylow = (Z/7Z)^5,,11-cyclic,11-Sylow = 0,11-Sylow = Z/11Z,11-Sylow = Z/(11^2Z),11-Sylow = (Z/11Z)^2,11-Sylow = Z/(11^3Z),11-Sylow = (Z/11Z)^3,11-Sylow = Z/(11^4Z),11-Sylow = (Z/11Z)^4,,13-cyclic,13-Sylow = 0,13-Sylow = Z/13Z,13-Sylow = Z/(13^2Z),13-Sylow = (Z/13Z)^2,13-Sylow = Z/(13^3Z),13-Sylow = (Z/13Z)^3,,17-cyclic,17-Sylow = 0,17-Sylow = Z/17Z,17-Sylow = Z/(17^2Z),17-Sylow = (Z/17Z)^2,17-Sylow = Z/(17^3Z),17-Sylow = (Z/17Z)^3,,19-cyclic,19-Sylow = 0,19-Sylow = Z/19Z,19-Sylow = Z/(19^2Z),19-Sylow = (Z/19Z)^2,19-Sylow = Z/(19^3Z),19-Sylow = (Z/19Z)^3,,23-cyclic,23-Sylow = 0,23-Sylow = Z/23Z,23-Sylow = Z/(23^2Z),23-Sylow = (Z/23Z)^2,23-Sylow = Z/(23^3Z),23-Sylow = (Z/23Z)^3,,29-cyclic,29-Sylow = 0,29-Sylow = Z/29Z,29-Sylow = Z/(29^2Z),29-Sylow = (Z/29Z)^2,,31-cyclic,31-Sylow = 0,31-Sylow = Z/31Z,31-Sylow = Z/(31^2Z),31-Sylow = (Z/31Z)^2,,37-cyclic,37-Sylow = 0,37-Sylow = Z/37Z,37-Sylow = Z/(37^2Z),37-Sylow = (Z/37Z)^2,,137-cyclic,137-Sylow = 0,137-Sylow = Z/137Z,137-Sylow = Z/(137^2Z),137-Sylow = (Z/137Z)^2,,277-cyclic,277-Sylow = 0,277-Sylow = Z/277Z
"(∞,q)",m−O(1/n),0.79352,o(1),,,0.83884,0.41942,0.20971,0.10486,0.06990,0.05243,0.00874,0.02621,0.00058,0.01311,0.00002,0.00655,0.00000,0.00328,0.00000,0.00164,0.00000,0.00082,0.00000,0.00041,0.00000,0.00020,0.00000,0.00010,0.00000,0.00005,0.00000,0.00003,0.00000,,0.95851,0.63900,0.21300,0.07100,0.02663,0.02367,0.00099,0.00789,0.00001,0.00263,0.00000,0.00088,0.00000,0.00029,0.00000,0.00010,0.00000,0.00003,0.00000,,0.99167,0.79334,0.15867,0.03173,0.00661,0.00635,0.00005,0.00127,0.00000,0.00025,0.00000,0.00005,0.00000,,0.99702,0.85459,0.12208,0.01744,0.00254,0.00249,0.00001,0.00036,0.00000,0.00005,0.00000,,0.99924,0.90840,0.08258,0.00751,0.00069,0.00068,0.00000,0.00006,0.00000,,0.99954,0.92265,0.07097,0.00546,0.00042,0.00042,0.00000,,0.99980,0.94098,0.05535,0.00326,0.00019,0.00019,0.00000,,0.99985,0.94723,0.04985,0.00262,0.00014,0.00014,0.00000,,0.99992,0.95644,0.04158,0.00181,0.00008,0.00008,0.00000,,0.99996,0.96548,0.03329,0.00115,0.00004,,0.99997,0.96771,0.03122,0.00101,0.00003,,0.99998,0.97295,0.02630,0.00071,0.00002,,1.00000,0.99270,0.00725,0.00005,0.00000,,1.00000,0.99639,0.00360
"(50, 1/4)",99999,79349,0,0.79378,,83804,41790,21200,10360,6964,5210,930,2609,45,1318,1,648,0,332,0,169,0,90,0,38,0,18,0,12,0,6,0,3,0,,95919,64072,21241,7120,2627,2306,103,755,3,298,0,88,0,28,0,9,0,1,0,,99215,79438,15767,3202,621,655,7,120,0,29,0,3,0,,99688,85490,12174,1710,266,260,0,46,0,6,0,,99938,90827,8255,773,56,71,0,11,0,,99952,92322,7044,544,44,41,0,,99980,94134,5497,329,19,18,0,,99985,94770,4929,263,15,20,0,,99990,95623,4183,181,10,3,0,,99998,96527,3355,114,2,,100000,96757,3123,115,0,,99998,97253,2673,72,2,,100000,99270,729,1,0,,100000,99655,344
,"[1.0000, 1.0000]","[0.7902, 0.7968]","[0.0000, 0.0000]",,,"[0.8350, 0.8410]","[0.4139, 0.4219]","[0.2087, 0.2153]","[0.1011, 0.1061]","[0.0676, 0.0717]","[0.0503, 0.0539]","[0.0085, 0.0101]","[0.0248, 0.0274]","[0.0003, 0.0006]","[0.0123, 0.0141]","[-0.0000, 0.0000]","[0.0058, 0.0071]","[0.0000, 0.0000]","[0.0029, 0.0038]","[0.0000, 0.0000]","[0.0014, 0.0020]","[0.0000, 0.0000]","[0.0007, 0.0011]","[0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9576, 0.9608]","[0.6368, 0.6446]","[0.2091, 0.2157]","[0.0691, 0.0733]","[0.0250, 0.0276]","[0.0218, 0.0243]","[0.0008, 0.0013]","[0.0068, 0.0083]","[-0.0000, 0.0001]","[0.0025, 0.0034]","[0.0000, 0.0000]","[0.0006, 0.0011]","[0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[-0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9914, 0.9929]","[0.7911, 0.7977]","[0.1547, 0.1606]","[0.0306, 0.0335]","[0.0056, 0.0068]","[0.0059, 0.0072]","[0.0000, 0.0001]","[0.0009, 0.0015]","[0.0000, 0.0000]","[0.0002, 0.0004]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9964, 0.9973]","[0.8520, 0.8578]","[0.1191, 0.1244]","[0.0160, 0.0182]","[0.0022, 0.0031]","[0.0022, 0.0030]","[0.0000, 0.0000]","[0.0003, 0.0006]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9992, 0.9996]","[0.9059, 0.9106]","[0.0803, 0.0848]","[0.0070, 0.0084]","[0.0004, 0.0008]","[0.0005, 0.0009]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9993, 0.9997]","[0.9211, 0.9254]","[0.0684, 0.0725]","[0.0048, 0.0060]","[0.0003, 0.0006]","[0.0002, 0.0006]","[0.0000, 0.0000]",,"[0.9997, 0.9999]","[0.9394, 0.9433]","[0.0531, 0.0568]","[0.0028, 0.0038]","[0.0001, 0.0003]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[0.9998, 0.9999]","[0.9459, 0.9495]","[0.0475, 0.0511]","[0.0022, 0.0030]","[0.0001, 0.0002]","[0.0001, 0.0003]","[0.0000, 0.0000]",,"[0.9998, 1.0000]","[0.9546, 0.9579]","[0.0402, 0.0435]","[0.0015, 0.0022]","[0.0000, 0.0002]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9638, 0.9668]","[0.0321, 0.0350]","[0.0009, 0.0014]","[-0.0000, 0.0001]",,"[1.0000, 1.0000]","[0.9661, 0.9690]","[0.0298, 0.0326]","[0.0009, 0.0014]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9712, 0.9739]","[0.0254, 0.0280]","[0.0005, 0.0009]","[-0.0000, 0.0001]",,"[1.0000, 1.0000]","[0.9920, 0.9934]","[0.0066, 0.0080]","[-0.0000, 0.0000]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9961, 0.9970]","[0.0030, 0.0039]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(100, 1/4)",100000,79279,0,0.79248,,83774,41713,21128,10469,7125,5285,897,2569,60,1301,5,629,0,326,0,179,0,89,0,49,0,17,0,9,0,6,0,1,0,,95890,63785,21511,7051,2680,2361,83,811,1,229,0,103,0,23,0,11,0,3,0,,99141,79577,15668,3139,681,596,5,134,0,23,0,2,0,,99690,85190,12413,1792,259,248,1,38,0,5,0,,99905,90720,8383,726,82,63,0,13,0,,99961,92385,6982,538,36,51,0,,99979,94161,5483,320,20,13,0,,99987,94775,4920,276,12,15,0,,99992,95674,4135,179,7,4,0,,99996,96466,3393,133,4,,99998,96764,3128,102,2,,99998,97337,2584,76,2,,100000,99228,770,2,0,,100000,99675,321
,"[1.0000, 1.0000]","[0.7895, 0.7961]","[0.0000, 0.0000]",,,"[0.8347, 0.8407]","[0.4131, 0.4211]","[0.2080, 0.2146]","[0.1022, 0.1072]","[0.0692, 0.0733]","[0.0510, 0.0547]","[0.0082, 0.0097]","[0.0244, 0.0270]","[0.0004, 0.0008]","[0.0121, 0.0139]","[-0.0000, 0.0001]","[0.0056, 0.0069]","[0.0000, 0.0000]","[0.0028, 0.0037]","[0.0000, 0.0000]","[0.0014, 0.0021]","[0.0000, 0.0000]","[0.0006, 0.0011]","[0.0000, 0.0000]","[0.0003, 0.0007]","[0.0000, 0.0000]","[0.0001, 0.0003]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]","[-0.0000, 0.0000]","[0.0000, 0.0000]",,"[0.9573, 0.9605]","[0.6339, 0.6418]","[0.2118, 0.2185]","[0.0684, 0.0726]","[0.0255, 0.0281]","[0.0224, 0.0248]","[0.0006, 0.0011]","[0.0074, 0.0088]","[-0.0000, 0.0000]","[0.0019, 0.0027]","[0.0000, 0.0000]","[0.0008, 0.0013]","[0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9907, 0.9922]","[0.7925, 0.7991]","[0.1537, 0.1596]","[0.0300, 0.0328]","[0.0061, 0.0075]","[0.0053, 0.0066]","[-0.0000, 0.0001]","[0.0010, 0.0016]","[0.0000, 0.0000]","[0.0001, 0.0004]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9964, 0.9974]","[0.8490, 0.8548]","[0.1214, 0.1268]","[0.0168, 0.0190]","[0.0022, 0.0030]","[0.0021, 0.0029]","[-0.0000, 0.0000]","[0.0002, 0.0005]","[0.0000, 0.0000]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9988, 0.9993]","[0.9048, 0.9096]","[0.0816, 0.0861]","[0.0066, 0.0080]","[0.0006, 0.0011]","[0.0004, 0.0008]","[0.0000, 0.0000]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9994, 0.9998]","[0.9217, 0.9260]","[0.0677, 0.0719]","[0.0048, 0.0060]","[0.0002, 0.0005]","[0.0003, 0.0007]","[0.0000, 0.0000]",,"[0.9997, 0.9999]","[0.9397, 0.9435]","[0.0530, 0.0567]","[0.0027, 0.0037]","[0.0001, 0.0003]","[0.0000, 0.0002]","[0.0000, 0.0000]",,"[0.9998, 1.0000]","[0.9459, 0.9496]","[0.0474, 0.0510]","[0.0023, 0.0032]","[0.0000, 0.0002]","[0.0001, 0.0002]","[0.0000, 0.0000]",,"[0.9998, 1.0000]","[0.9551, 0.9584]","[0.0397, 0.0430]","[0.0014, 0.0021]","[0.0000, 0.0001]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[0.9999, 1.0000]","[0.9632, 0.9662]","[0.0325, 0.0354]","[0.0010, 0.0016]","[-0.0000, 0.0001]",,"[0.9999, 1.0000]","[0.9662, 0.9691]","[0.0299, 0.0327]","[0.0008, 0.0013]","[-0.0000, 0.0001]",,"[0.9999, 1.0000]","[0.9721, 0.9747]","[0.0245, 0.0271]","[0.0005, 0.0010]","[-0.0000, 0.0001]",,"[1.0000, 1.0000]","[0.9916, 0.9930]","[0.0070, 0.0084]","[-0.0000, 0.0001]","[0.0000, 0.0000]",,"[1.0000, 1.0000]","[0.9963, 0.9972]","[0.0027, 0.0037]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(50, 1/3)",100000,79355,0,0.79353,,83960,41697,21016,10551,6853,5387,925,2639,47,1356,1,650,0,323,0,158,0,102,0,43,0,25,0,7,0,3,0,3,0,,95792,63919,21167,7158,2686,2371,96,779,2,277,0,79,0,30,0,4,0,3,0,,99137,79491,15629,3228,693,630,8,137,1,18,0,3,0,,99698,85283,12347,1744,240,276,0,42,0,4,0,,99924,90762,8357,730,70,70,0,4,0,,99965,92311,7031,574,33,46,0,,99978,93997,5659,305,20,17,0,,99984,94687,5015,270,16,12,0,,99990,95658,4165,162,9,5,0,,99994,96565,3315,112,6,,99993,96770,3121,98,7,,99997,97278,2650,64,3,,100000,99265,729,6,0,,100000,99644,355
